,1099 HK Equity,,1066 HK Equity,,874 HK Equity,,460 HK Equity,,867 HK Equity,,1666 HK Equity,,2877 HK Equity,,853 HK Equity,,325 HK Equity,,8058 HK Equity,,8231 HK Equity,,963 HK Equity
9/5/2012,3.0939,4/15/2011,1.38,4/15/2011,1.27222,,,,,4/15/2011,1.2105,4/15/2011,2.42353,,,6/17/2013,0.96135,4/15/2011,1.2118,4/15/2011,0.23927,9/15/2011,0.30936
9/6/2012,3.1135,4/18/2011,1.37,4/18/2011,1.27045,,,,,4/18/2011,1.1946,4/18/2011,2.38916,,,6/18/2013,0.96149,4/18/2011,1.1882,4/18/2011,0.23917,9/16/2011,0.30921
9/7/2012,3.0944,4/19/2011,1.37,4/19/2011,1.24454,,,,,4/19/2011,1.1790,4/19/2011,2.46593,,,6/19/2013,0.96175,4/19/2011,1.2034,4/19/2011,0.23785,9/19/2011,0.30917
9/10/2012,3.1011,4/20/2011,1.37,4/20/2011,1.24952,,,,,4/20/2011,1.1787,4/20/2011,2.4733,,,6/20/2013,0.96213,4/20/2011,1.2560,4/20/2011,0.23806,9/20/2011,0.30932
9/11/2012,3.1015,4/21/2011,1.36,4/21/2011,1.24487,,,,,4/21/2011,1.1844,4/21/2011,2.49746,,,6/21/2013,0.96155,4/21/2011,1.2513,4/21/2011,0.23945,9/21/2011,0.30941
9/12/2012,3.2111,4/26/2011,1.39,4/26/2011,1.23535,,,,,4/26/2011,1.1865,4/26/2011,2.49643,,,6/24/2013,0.96158,4/26/2011,1.2508,4/26/2011,0.24578,9/22/2011,0.30895
9/13/2012,3.1209,4/27/2011,1.44,4/27/2011,1.19186,,,,,4/27/2011,1.2034,4/27/2011,2.44807,,,6/25/2013,0.96161,4/27/2011,1.2459,4/27/2011,0.2394,9/23/2011,0.29482
9/14/2012,3.1411,4/28/2011,1.4,4/28/2011,1.14037,,,,,4/28/2011,1.1957,4/28/2011,2.42232,,,6/26/2013,0.9614,4/28/2011,1.2421,4/28/2011,0.25485,9/26/2011,0.29486
9/17/2012,3.1282,4/29/2011,1.37,4/29/2011,1.12911,,,,,4/29/2011,1.1845,4/29/2011,2.42301,,,6/27/2013,0.96159,4/29/2011,1.2308,4/29/2011,0.25492,9/27/2011,0.295
9/18/2012,3.0507,5/3/2011,1.37,5/3/2011,1.15481,,,,,5/3/2011,1.1587,5/3/2011,2.39717,,,6/28/2013,0.96182,5/3/2011,1.2076,5/3/2011,0.2562,9/28/2011,0.2951
9/19/2012,3.0956,5/4/2011,1.38,5/4/2011,1.20093,,,,,5/4/2011,1.1585,5/4/2011,2.44562,,,7/2/2013,0.96213,5/4/2011,1.1919,5/4/2011,0.23813,9/30/2011,0.29541
9/20/2012,3.0954,5/5/2011,1.44,5/5/2011,1.23263,,,,,5/5/2011,1.1361,5/5/2011,2.46783,,,7/3/2013,0.96208,5/5/2011,1.1927,5/5/2011,0.25733,10/3/2011,0.29534
9/21/2012,3.1341,5/6/2011,1.46,5/6/2011,1.20691,,,,,5/6/2011,1.1413,5/6/2011,2.51933,,,7/4/2013,0.96211,5/6/2011,1.1966,5/6/2011,0.25605,10/4/2011,0.29545
9/24/2012,3.1601,5/9/2011,1.46,5/9/2011,1.21586,,,,,5/9/2011,1.1631,5/9/2011,2.61184,,,7/5/2013,0.96198,5/9/2011,1.2120,5/9/2011,0.25218,10/6/2011,0.30841
9/25/2012,3.1404,5/11/2011,1.52,5/11/2011,1.19538,,,,,5/11/2011,1.1671,5/11/2011,2.59921,,,7/8/2013,0.96181,5/11/2011,1.2044,5/11/2011,0.24448,10/7/2011,0.302
9/26/2012,3.1855,5/12/2011,1.45,5/12/2011,1.15797,,,,,5/12/2011,1.1683,5/12/2011,2.5321,,,7/9/2013,0.96174,5/12/2011,1.2004,5/12/2011,0.2406,10/10/2011,0.30201
