,857 HK Equity,,386 HK Equity,,883 HK Equity,,1088 HK Equity,,2883 HK Equity,,1898 HK Equity,,1171 HK Equity,,384 HK Equity,,3337 HK Equity,,956 HK Equity,,196 HK Equity,,568 HK Equity,,975 HK Equity,,1393 HK Equity,,951 HK Equity,,686 HK Equity,,712 HK Equity,,839 HK Equity,,866 HK Equity,,3303 HK Equity,,842 HK Equity,,,,,,,,,
9/14/2009,1.16257,9/14/2009,0.67,9/14/2009,1.39353,9/14/2009,4.35,9/14/2009,0.99483,9/14/2009,1.35,9/14/2009,1.46063,9/14/2009,0.32,9/14/2009,0.09935,2/22/2012,0.24,9/14/2009,0.21677,9/14/2009,0.58,2/23/2012,0.90638,9/14/2009,1.00257,11/10/2011,0.43,9/14/2009,0.09,3/7/2011,0.41227,9/14/2009,0.34,11/5/2010,0.2703,9/14/2009,0.11,3/27/2012,0.30007,,,,,,,,,
9/15/2009,1.15869,9/15/2009,0.67,9/15/2009,1.37547,9/15/2009,4.36,9/15/2009,0.97547,9/15/2009,1.34,9/15/2009,1.46063,9/15/2009,0.31,9/15/2009,0.09677,2/23/2012,0.24,9/15/2009,0.21419,9/15/2009,0.58,2/24/2012,0.90017,9/15/2009,1.01031,11/11/2011,0.45,9/15/2009,0.09,3/8/2011,0.39932,9/15/2009,0.33,11/8/2010,0.26643,9/15/2009,0.11,3/28/2012,0.28851,,,,,,,,,
9/16/2009,1.19224,9/16/2009,0.68,9/16/2009,1.40901,9/16/2009,4.55,9/16/2009,0.99095,9/16/2009,1.41,9/16/2009,1.53288,9/16/2009,0.32,9/16/2009,0.09419,2/24/2012,0.23,9/16/2009,0.21419,9/16/2009,0.58,2/27/2012,0.88587,9/16/2009,1.04257,11/14/2011,0.45,9/16/2009,0.09,3/9/2011,0.40197,9/16/2009,0.37,11/9/2010,0.26189,9/16/2009,0.11,3/29/2012,0.24214,,,,,,,,,
9/17/2009,1.21029,9/17/2009,0.69,9/17/2009,1.40383,9/17/2009,4.66,9/17/2009,1.00126,9/17/2009,1.46,9/17/2009,1.57415,9/17/2009,0.34,9/17/2009,0.09677,2/27/2012,0.23,9/17/2009,0.21806,9/17/2009,0.61,2/28/2012,0.90391,9/17/2009,1.05804,11/15/2011,0.47,9/17/2009,0.08,3/10/2011,0.38515,9/17/2009,0.39,11/10/2010,0.26964,9/17/2009,0.10,3/30/2012,0.24986,,,,,,,,,
9/18/2009,1.20121,9/18/2009,0.68,9/18/2009,1.39604,9/18/2009,4.57,9/18/2009,0.97413,9/18/2009,1.45,9/18/2009,1.54571,9/18/2009,0.33,9/18/2009,0.09677,2/28/2012,0.22,9/18/2009,0.21805,9/18/2009,0.59,2/29/2012,0.92449,9/18/2009,1.05929,11/16/2011,0.46,9/18/2009,0.09,3/11/2011,0.37879,9/18/2009,0.38,11/11/2010,0.26901,9/18/2009,0.10,4/2/2012,0.25239,,,,,,,,,
9/21/2009,1.19346,9/21/2009,0.67,9/21/2009,1.3857,9/21/2009,4.50,9/21/2009,0.96251,9/21/2009,1.39,9/21/2009,1.50182,9/21/2009,0.33,9/21/2009,0.09548,2/29/2012,0.23,9/21/2009,0.21418,9/21/2009,0.59,3/1/2012,0.90907,9/21/2009,1.05798,11/17/2011,0.46,9/21/2009,0.09,3/14/2011,0.37993,9/21/2009,0.39,11/12/2010,0.25737,9/21/2009,0.11,4/3/2012,0.24728,,,,,,,,,
9/22/2009,1.21028,9/22/2009,0.68,9/22/2009,1.39866,9/22/2009,4.47,9/22/2009,0.97803,9/22/2009,1.40,9/22/2009,1.51994,9/22/2009,0.34,9/22/2009,0.09548,3/1/2012,0.24,9/22/2009,0.21677,9/22/2009,0.57,3/2/2012,0.91896,9/22/2009,1.05544,11/18/2011,0.44,9/22/2009,0.10,3/15/2011,0.39369,9/22/2009,0.39,11/15/2010,0.25218,9/22/2009,0.11,4/5/2012,0.25373,,,,,,,,,
9/23/2009,1.21152,9/23/2009,0.68,9/23/2009,1.39602,9/23/2009,4.50,9/23/2009,0.98444,9/23/2009,1.37,9/23/2009,1.50698,9/23/2009,0.35,9/23/2009,0.0929,3/2/2012,0.23,9/23/2009,0.21805,9/23/2009,0.56,3/5/2012,0.92229,9/23/2009,1.03218,11/21/2011,0.44,9/23/2009,0.10,3/16/2011,0.41931,9/23/2009,0.37,11/16/2010,0.24822,9/23/2009,0.11,4/10/2012,0.24855,,,,,,,,,
9/24/2009,1.17544,9/24/2009,0.67,9/24/2009,1.34704,9/24/2009,4.39,9/24/2009,0.94835,9/24/2009,1.33,9/24/2009,1.46059,9/24/2009,0.34,9/24/2009,0.09161,3/5/2012,0.23,9/24/2009,0.21289,9/24/2009,0.55,3/6/2012,0.91332,9/24/2009,0.99222,11/22/2011,0.44,9/24/2009,0.09,3/17/2011,0.45368,9/24/2009,0.37,11/17/2010,0.23461,9/24/2009,0.11,4/11/2012,0.24084,,,,,,,,,
9/25/2009,1.16384,9/25/2009,0.66,9/25/2009,1.33932,9/25/2009,4.45,9/25/2009,0.9561,9/25/2009,1.33,9/25/2009,1.46319,9/25/2009,0.34,9/25/2009,0.09161,3/6/2012,0.22,9/25/2009,0.21161,9/25/2009,0.54,3/7/2012,0.97245,9/25/2009,0.98965,11/23/2011,0.43,9/25/2009,0.08,3/18/2011,0.44484,9/25/2009,0.38,11/18/2010,0.25989,9/25/2009,0.11,4/12/2012,0.2447,,,,,,,,,
9/28/2009,1.13026,9/28/2009,0.66,9/28/2009,1.32896,9/28/2009,4.26,9/28/2009,0.92124,9/28/2009,1.29,9/28/2009,1.41928,9/28/2009,0.33,9/28/2009,0.09161,3/7/2012,0.22,9/28/2009,0.20515,9/28/2009,0.52,3/8/2012,1.00317,9/28/2009,0.96124,11/24/2011,0.42,9/28/2009,0.08,3/21/2011,0.43729,9/28/2009,0.37,11/19/2010,0.26568,9/28/2009,0.11,4/13/2012,0.24357,,,,,,,,,
9/29/2009,1.14836,9/29/2009,0.66,9/29/2009,1.36513,9/29/2009,4.41,9/29/2009,0.94578,9/29/2009,1.32,9/29/2009,1.45287,9/29/2009,0.33,9/29/2009,0.09419,3/8/2012,0.22,9/29/2009,0.20516,9/29/2009,0.54,3/9/2012,1.04689,9/29/2009,0.96901,11/25/2011,0.42,9/29/2009,0.08,3/22/2011,0.44776,9/29/2009,0.37,11/22/2010,0.26563,9/29/2009,0.11,4/16/2012,0.23975,,,,,,,,,
9/30/2009,1.13031,9/30/2009,0.65,9/30/2009,1.3445,9/30/2009,4.37,9/30/2009,0.93289,9/30/2009,1.31,9/30/2009,1.44256,9/30/2009,0.32,9/30/2009,0.08903,3/9/2012,0.22,9/30/2009,0.20129,9/30/2009,0.52,3/12/2012,1.03122,9/30/2009,0.93547,11/28/2011,0.43,9/30/2009,0.08,3/23/2011,0.4414,9/30/2009,0.36,11/23/2010,0.27518,9/30/2009,0.11,4/17/2012,0.24101,,,,,,,,,
10/2/2009,1.09933,10/2/2009,0.63,10/2/2009,1.32126,10/2/2009,4.21,10/2/2009,0.90836,10/2/2009,1.26,10/2/2009,1.38835,10/2/2009,0.31,10/2/2009,0.08516,3/12/2012,0.22,10/2/2009,0.19612,10/2/2009,0.50,3/13/2012,1.03098,10/2/2009,0.9174,11/29/2011,0.44,10/2/2009,0.08,3/24/2011,0.43884,10/2/2009,0.34,11/24/2010,0.28228,10/2/2009,0.10,4/18/2012,0.25255,,,,,,,,,
10/5/2009,1.11607,10/5/2009,0.63,10/5/2009,1.35477,10/5/2009,4.26,10/5/2009,0.91737,10/5/2009,1.28,10/5/2009,1.43218,10/5/2009,0.31,10/5/2009,0.08645,3/13/2012,0.22,10/5/2009,0.19483,10/5/2009,0.48,3/14/2012,1.0436,10/5/2009,0.92511,11/30/2011,0.44,10/5/2009,0.08,3/25/2011,0.44009,10/5/2009,0.35,11/25/2010,0.27579,10/5/2009,0.11,4/19/2012,0.2499,,,,,,,,,
10/6/2009,1.14966,10/6/2009,0.66,10/6/2009,1.39353,10/6/2009,4.38,10/6/2009,0.94063,10/6/2009,1.33,10/6/2009,1.47869,10/6/2009,0.31,10/6/2009,0.08516,3/14/2012,0.22,10/6/2009,0.19484,10/6/2009,0.50,3/15/2012,1.02941,10/6/2009,0.95483,12/1/2011,0.45,10/6/2009,0.08,3/28/2011,0.47822,10/6/2009,0.35,11/26/2010,0.28333,10/6/2009,0.11,4/20/2012,0.2448,,,,,,,,,
10/7/2009,1.19095,10/7/2009,0.67,10/7/2009,1.41418,10/7/2009,4.45,10/7/2009,0.95999,10/7/2009,1.37,10/7/2009,1.51998,10/7/2009,0.34,10/7/2009,0.09032,3/15/2012,0.22,10/7/2009,0.2,10/7/2009,0.50,3/16/2012,1.01899,10/7/2009,0.95741,12/2/2011,0.45,10/7/2009,0.08,3/29/2011,0.47228,10/7/2009,0.36,11/29/2010,0.29359,10/7/2009,0.11,4/23/2012,0.2448,,,,,,,,,
10/8/2009,1.20386,10/8/2009,0.68,10/8/2009,1.42192,10/8/2009,4.45,10/8/2009,0.9716,10/8/2009,1.39,10/8/2009,1.52256,10/8/2009,0.34,10/8/2009,0.0929,3/16/2012,0.22,10/8/2009,0.19871,10/8/2009,0.52,3/19/2012,0.99195,10/8/2009,0.97676,12/5/2011,0.43,10/8/2009,0.09,3/30/2011,0.50617,10/8/2009,0.36,11/30/2010,0.30905,10/8/2009,0.11,4/24/2012,0.24356,,,,,,,,,
10/9/2009,1.20386,10/9/2009,0.68,10/9/2009,1.45288,10/9/2009,4.51,10/9/2009,1.00644,10/9/2009,1.41,10/9/2009,1.51998,10/9/2009,0.34,10/9/2009,0.0929,3/19/2012,0.22,10/9/2009,0.2,10/9/2009,0.55,3/20/2012,0.99701,10/9/2009,0.96773,12/6/2011,0.43,10/9/2009,0.09,3/31/2011,0.49893,10/9/2009,0.37,12/1/2010,0.31486,10/9/2009,0.11,4/25/2012,0.24484,,,,,,,,,
10/12/2009,1.19223,10/12/2009,0.67,10/12/2009,1.43996,10/12/2009,4.38,10/12/2009,1.01288,10/12/2009,1.38,10/12/2009,1.48641,10/12/2009,0.35,10/12/2009,0.09161,3/20/2012,0.22,10/12/2009,0.19612,10/12/2009,0.54,3/21/2012,0.99424,10/12/2009,0.94449,12/7/2011,0.45,10/12/2009,0.09,4/1/2011,0.50908,10/12/2009,0.37,12/2/2010,0.30001,10/12/2009,0.11,4/26/2012,0.24487,,,,,,,,,
10/13/2009,1.22192,10/13/2009,0.68,10/13/2009,1.48385,10/13/2009,4.44,10/13/2009,1.05418,10/13/2009,1.40,10/13/2009,1.51482,10/13/2009,0.37,10/13/2009,0.09548,3/21/2012,0.22,10/13/2009,0.20258,10/13/2009,0.54,3/22/2012,1.00439,10/13/2009,0.95483,12/8/2011,0.44,10/13/2009,0.08,4/4/2011,0.51854,10/13/2009,0.37,12/3/2010,0.28603,10/13/2009,0.11,4/27/2012,0.24486,,,,,,,,,
10/14/2009,1.28514,10/14/2009,0.70,10/14/2009,1.53546,10/14/2009,4.52,10/14/2009,1.07999,10/14/2009,1.41,10/14/2009,1.54063,10/14/2009,0.38,10/14/2009,0.09677,3/22/2012,0.21,10/14/2009,0.20129,10/14/2009,0.57,3/23/2012,0.9539,10/14/2009,0.96386,12/9/2011,0.44,10/14/2009,0.08,4/6/2011,0.51461,10/14/2009,0.38,12/6/2010,0.28477,10/14/2009,0.12,4/30/2012,0.25006,,,,,,,,,
10/15/2009,1.29029,10/15/2009,0.70,10/15/2009,1.55093,10/15/2009,4.52,10/15/2009,1.10707,10/15/2009,1.40,10/15/2009,1.54577,10/15/2009,0.38,10/15/2009,0.09935,3/23/2012,0.21,10/15/2009,0.2129,10/15/2009,0.60,3/26/2012,0.95645,10/15/2009,0.98062,12/12/2011,0.44,10/15/2009,0.08,4/7/2011,0.5392,10/15/2009,0.38,12/7/2010,0.29049,10/15/2009,0.12,5/2/2012,0.25136,,,,,,,,,
10/16/2009,1.28768,10/16/2009,0.70,10/16/2009,1.53799,10/16/2009,4.48,10/16/2009,1.07607,10/16/2009,1.37,10/16/2009,1.53799,10/16/2009,0.42,10/16/2009,0.10193,3/26/2012,0.21,10/16/2009,0.22321,10/16/2009,0.60,3/27/2012,0.96719,10/16/2009,1.05027,12/13/2011,0.44,10/16/2009,0.08,4/8/2011,0.51889,10/16/2009,0.36,12/8/2010,0.2845,10/16/2009,0.12,5/3/2012,0.25131,,,,,,,,,
10/19/2009,1.3264,10/19/2009,0.70,10/19/2009,1.60252,10/19/2009,4.57,10/19/2009,1.11092,10/19/2009,1.40,10/19/2009,1.56897,10/19/2009,0.43,10/19/2009,0.10709,3/27/2012,0.21,10/19/2009,0.21935,10/19/2009,0.61,3/28/2012,0.97242,10/19/2009,1.05544,12/14/2011,0.44,10/19/2009,0.08,4/11/2011,0.52001,10/19/2009,0.38,12/9/2010,0.27206,10/19/2009,0.13,5/4/2012,0.25124,,,,,,,,,
10/20/2009,1.32385,10/20/2009,0.69,10/20/2009,1.60772,10/20/2009,4.55,10/20/2009,1.15095,10/20/2009,1.40,10/20/2009,1.56385,10/20/2009,0.43,10/20/2009,0.10968,3/28/2012,0.21,10/20/2009,0.22064,10/20/2009,0.60,3/29/2012,0.9737,10/20/2009,1.0387,12/15/2011,0.43,10/20/2009,0.08,4/12/2011,0.51456,10/20/2009,0.37,12/10/2010,0.26369,10/20/2009,0.14,5/7/2012,0.25381,,,,,,,,,
10/21/2009,1.31353,10/21/2009,0.67,10/21/2009,1.57417,10/21/2009,4.52,10/21/2009,1.1316,10/21/2009,1.39,10/21/2009,1.54837,10/21/2009,0.42,10/21/2009,0.1071,3/29/2012,0.21,10/21/2009,0.21548,10/21/2009,0.61,3/30/2012,0.95052,10/21/2009,1.04257,12/16/2011,0.44,10/21/2009,0.08,4/13/2011,0.51572,10/21/2009,0.38,12/13/2010,0.27061,10/21/2009,0.13,5/8/2012,0.26412,,,,,,,,,
10/22/2009,1.30579,10/22/2009,0.67,10/22/2009,1.57933,10/22/2009,4.57,10/22/2009,1.13805,10/22/2009,1.39,10/22/2009,1.56127,10/22/2009,0.40,10/22/2009,0.10968,3/30/2012,0.18,10/22/2009,0.21677,10/22/2009,0.61,4/2/2012,0.95291,10/22/2009,1.06966,12/19/2011,0.44,10/22/2009,0.08,4/14/2011,0.51192,10/22/2009,0.38,12/14/2010,0.28946,10/22/2009,0.14,5/9/2012,0.2589,,,,,,,,,
10/23/2009,1.35226,10/23/2009,0.68,10/23/2009,1.66452,10/23/2009,4.70,10/23/2009,1.18194,10/23/2009,1.47,10/23/2009,1.61806,10/23/2009,0.40,10/23/2009,0.11484,4/2/2012,0.19,10/23/2009,0.21677,10/23/2009,0.65,4/3/2012,0.92601,10/23/2009,1.0929,12/20/2011,0.45,10/23/2009,0.09,4/15/2011,0.53642,10/23/2009,0.41,12/15/2010,0.28232,10/23/2009,0.14,5/10/2012,0.25245,,,,,,,,,
10/27/2009,1.32384,10/27/2009,0.68,10/27/2009,1.6077,10/27/2009,4.69,10/27/2009,1.12384,10/27/2009,1.47,10/27/2009,1.62318,10/27/2009,0.41,10/27/2009,0.11096,4/3/2012,0.20,10/27/2009,0.21548,10/27/2009,0.63,4/5/2012,0.90156,10/27/2009,1.08513,12/21/2011,0.45,10/27/2009,0.09,4/18/2011,0.53364,10/27/2009,0.43,12/16/2010,0.27579,10/27/2009,0.14,5/11/2012,0.24725,,,,,,,,,
10/28/2009,1.28384,10/28/2009,0.67,10/28/2009,1.55351,10/28/2009,4.61,10/28/2009,1.08255,10/28/2009,1.42,10/28/2009,1.59222,10/28/2009,0.40,10/28/2009,0.10838,4/5/2012,0.20,10/28/2009,0.20645,10/28/2009,0.63,4/10/2012,0.87058,10/28/2009,1.05159,12/22/2011,0.45,10/28/2009,0.09,4/19/2011,0.52456,10/28/2009,0.42,12/17/2010,0.29317,10/28/2009,0.14,5/14/2012,0.24595,,,,,,,,,
10/29/2009,1.23219,10/29/2009,0.66,10/29/2009,1.48379,10/29/2009,4.52,10/29/2009,1.05543,10/29/2009,1.38,10/29/2009,1.56121,10/29/2009,0.40,10/29/2009,0.10193,4/10/2012,0.19,10/29/2009,0.20515,10/29/2009,0.63,4/11/2012,0.86289,10/29/2009,1.00124,12/23/2011,0.46,10/29/2009,0.09,4/20/2011,0.57393,10/29/2009,0.41,12/20/2010,0.29964,10/29/2009,0.13,5/15/2012,0.24331,,,,,,,,,
10/30/2009,1.23869,10/30/2009,0.67,10/30/2009,1.55095,10/30/2009,4.61,10/30/2009,1.11224,10/30/2009,1.44,10/30/2009,1.59224,10/30/2009,0.41,10/30/2009,0.10581,4/11/2012,0.19,10/30/2009,0.21032,10/30/2009,0.70,4/12/2012,0.86033,10/30/2009,1.05418,12/28/2011,0.45,10/30/2009,0.09,4/21/2011,0.60119,10/30/2009,0.45,12/21/2010,0.301,10/30/2009,0.14,5/16/2012,0.2343,,,,,,,,,
11/2/2009,1.22319,11/2/2009,0.66,11/2/2009,1.53286,11/2/2009,4.66,11/2/2009,1.10191,11/2/2009,1.47,11/2/2009,1.59222,11/2/2009,0.41,11/2/2009,0.10322,4/12/2012,0.19,11/2/2009,0.20903,11/2/2009,0.70,4/13/2012,0.85958,11/2/2009,1.06578,12/29/2011,0.44,11/2/2009,0.09,4/26/2011,0.59194,11/2/2009,0.46,12/22/2010,0.30144,11/2/2009,0.14,5/17/2012,0.23297,,,,,,,,,
11/3/2009,1.19995,11/3/2009,0.66,11/3/2009,1.48897,11/3/2009,4.57,11/3/2009,1.09286,11/3/2009,1.46,11/3/2009,1.56897,11/3/2009,0.40,11/3/2009,0.10451,4/13/2012,0.19,11/3/2009,0.19999,11/3/2009,0.68,4/16/2012,0.84427,11/3/2009,1.03609,12/30/2011,0.41,11/3/2009,0.09,4/27/2011,0.58692,11/3/2009,0.45,12/23/2010,0.2977,11/3/2009,0.14,5/18/2012,0.22534,,,,,,,,,
11/4/2009,1.24256,11/4/2009,0.66,11/4/2009,1.53288,11/4/2009,4.67,11/4/2009,1.10966,11/4/2009,1.51,11/4/2009,1.62062,11/4/2009,0.40,11/4/2009,0.1071,4/16/2012,0.18,11/4/2009,0.20516,11/4/2009,0.70,4/17/2012,0.83773,11/4/2009,1.07353,1/3/2012,0.40,11/4/2009,0.09,4/28/2011,0.57276,11/4/2009,0.50,12/24/2010,0.29368,11/4/2009,0.14,5/21/2012,0.22536,,,,,,,,,
11/5/2009,1.24902,11/5/2009,0.67,11/5/2009,1.5303,11/5/2009,4.64,11/5/2009,1.12128,11/5/2009,1.51,11/5/2009,1.62837,11/5/2009,0.43,11/5/2009,0.10839,4/17/2012,0.18,11/5/2009,0.20516,11/5/2009,0.70,4/18/2012,0.83883,11/5/2009,1.05676,1/4/2012,0.39,11/5/2009,0.09,4/29/2011,0.59738,11/5/2009,0.49,12/28/2010,0.29497,11/5/2009,0.14,5/22/2012,0.2331,,,,,,,,,
11/6/2009,1.26966,11/6/2009,0.68,11/6/2009,1.58192,11/6/2009,4.79,11/6/2009,1.13934,11/6/2009,1.58,11/6/2009,1.71095,11/6/2009,0.45,11/6/2009,0.11097,4/18/2012,0.19,11/6/2009,0.20387,11/6/2009,0.69,4/19/2012,0.82958,11/6/2009,1.08773,1/5/2012,0.39,11/6/2009,0.09,5/3/2011,0.58577,11/6/2009,0.47,12/29/2010,0.29873,11/6/2009,0.15,5/23/2012,0.23311,,,,,,,,,
11/9/2009,1.29547,11/9/2009,0.68,11/9/2009,1.60256,11/9/2009,4.97,11/9/2009,1.17418,11/9/2009,1.67,11/9/2009,1.77804,11/9/2009,0.44,11/9/2009,0.11355,4/19/2012,0.19,11/9/2009,0.20387,11/9/2009,0.68,4/20/2012,0.83749,11/9/2009,1.13418,1/6/2012,0.37,11/9/2009,0.08,5/4/2011,0.54833,11/9/2009,0.47,12/30/2010,0.30071,11/9/2009,0.15,5/24/2012,0.23056,,,,,,,,,
11/10/2009,1.30579,11/10/2009,0.67,11/10/2009,1.60772,11/10/2009,4.96,11/10/2009,1.18192,11/10/2009,1.69,11/10/2009,1.7703,11/10/2009,0.44,11/10/2009,0.1071,4/20/2012,0.19,11/10/2009,0.20516,11/10/2009,0.66,4/23/2012,0.81429,11/10/2009,1.12773,1/9/2012,0.37,11/10/2009,0.09,5/5/2011,0.53654,11/10/2009,0.48,12/31/2010,0.30234,11/10/2009,0.14,5/25/2012,0.23058,,,,,,,,,
11/11/2009,1.30321,11/11/2009,0.68,11/11/2009,1.63353,11/11/2009,4.95,11/11/2009,1.2116,11/11/2009,1.71,11/11/2009,1.79869,11/11/2009,0.43,11/11/2009,0.11355,4/23/2012,0.19,11/11/2009,0.21032,11/11/2009,0.74,4/24/2012,0.81315,11/11/2009,1.12773,1/10/2012,0.38,11/11/2009,0.09,5/6/2011,0.54556,11/11/2009,0.52,1/3/2011,0.32052,11/11/2009,0.14,5/28/2012,0.23445,,,,,,,,,
11/12/2009,1.30063,11/12/2009,0.68,11/12/2009,1.60256,11/12/2009,4.91,11/12/2009,1.1845,11/12/2009,1.70,11/12/2009,1.80385,11/12/2009,0.44,11/12/2009,0.11097,4/24/2012,0.19,11/12/2009,0.21419,11/12/2009,0.72,4/25/2012,0.81183,11/12/2009,1.14192,1/11/2012,0.39,11/12/2009,0.10,5/9/2011,0.55711,11/12/2009,0.54,1/4/2011,0.33914,11/12/2009,0.14,5/29/2012,0.24086,,,,,,,,,
11/13/2009,1.28385,11/13/2009,0.68,11/13/2009,1.61804,11/13/2009,4.99,11/13/2009,1.17031,11/13/2009,1.70,11/13/2009,1.81933,11/13/2009,0.45,11/13/2009,0.11226,4/25/2012,0.19,11/13/2009,0.21032,11/13/2009,0.70,4/26/2012,0.80935,11/13/2009,1.13547,1/12/2012,0.38,11/13/2009,0.09,5/11/2011,0.54944,11/13/2009,0.58,1/5/2011,0.33266,11/13/2009,0.14,5/30/2012,0.24084,,,,,,,,,
11/16/2009,1.30063,11/16/2009,0.67,11/16/2009,1.64385,11/16/2009,5.10,11/16/2009,1.19353,11/16/2009,1.75,11/16/2009,1.90965,11/16/2009,0.45,11/16/2009,0.11355,4/26/2012,0.20,11/16/2009,0.21032,11/16/2009,0.71,4/27/2012,0.80032,11/16/2009,1.14063,1/13/2012,0.38,11/16/2009,0.09,5/12/2011,0.51337,11/16/2009,0.60,1/6/2011,0.34285,11/16/2009,0.14,5/31/2012,0.23964,,,,,,,,,
11/17/2009,1.30577,11/17/2009,0.67,11/17/2009,1.65931,11/17/2009,5.09,11/17/2009,1.209,11/17/2009,1.79,11/17/2009,1.97672,11/17/2009,0.45,11/17/2009,0.11096,4/27/2012,0.19,11/17/2009,0.20645,11/17/2009,0.72,4/30/2012,0.8056,11/17/2009,1.13416,1/16/2012,0.38,11/17/2009,0.08,5/13/2011,0.52364,11/17/2009,0.59,1/7/2011,0.34419,11/17/2009,0.14,6/1/2012,0.2358,,,,,,,,,
11/18/2009,1.30579,11/18/2009,0.68,11/18/2009,1.64385,11/18/2009,5.11,11/18/2009,1.19482,11/18/2009,1.77,11/18/2009,1.98707,11/18/2009,0.45,11/18/2009,0.11355,4/30/2012,0.19,11/18/2009,0.20645,11/18/2009,0.75,5/2/2012,0.82627,11/18/2009,1.14708,1/17/2012,0.39,11/18/2009,0.08,5/16/2011,0.51045,11/18/2009,0.57,1/10/2011,0.35037,11/18/2009,0.14,6/4/2012,0.21524,,,,,,,,,
11/19/2009,1.30063,11/19/2009,0.68,11/19/2009,1.62062,11/19/2009,5.01,11/19/2009,1.18837,11/19/2009,1.74,11/19/2009,1.95868,11/19/2009,0.45,11/19/2009,0.11355,5/2/2012,0.20,11/19/2009,0.20903,11/19/2009,0.74,5/3/2012,0.81708,11/19/2009,1.12644,1/18/2012,0.38,11/19/2009,0.08,5/17/2011,0.47203,11/19/2009,0.58,1/11/2011,0.35114,11/19/2009,0.14,6/5/2012,0.21652,,,,,,,,,
11/20/2009,1.28513,11/20/2009,0.66,11/20/2009,1.6206,11/20/2009,4.94,11/20/2009,1.17545,11/20/2009,1.71,11/20/2009,1.93027,11/20/2009,0.45,11/20/2009,0.11226,5/3/2012,0.20,11/20/2009,0.20903,11/20/2009,0.72,5/4/2012,0.81813,11/20/2009,1.10449,1/19/2012,0.40,11/20/2009,0.09,5/18/2011,0.45915,11/20/2009,0.56,1/12/2011,0.36338,11/20/2009,0.14,6/6/2012,0.21268,,,,,,,,,
11/23/2009,1.29289,11/23/2009,0.66,11/23/2009,1.61804,11/23/2009,5.07,11/23/2009,1.16128,11/23/2009,1.74,11/23/2009,1.97417,11/23/2009,0.44,11/23/2009,0.10968,5/4/2012,0.21,11/23/2009,0.20903,11/23/2009,0.75,5/7/2012,0.80394,11/23/2009,1.11353,1/20/2012,0.39,11/23/2009,0.08,5/19/2011,0.4489,11/23/2009,0.57,1/13/2011,0.36919,11/23/2009,0.14,6/7/2012,0.23073,,,,,,,,,
11/24/2009,1.26966,11/24/2009,0.66,11/24/2009,1.5845,11/24/2009,4.99,11/24/2009,1.13805,11/24/2009,1.74,11/24/2009,2.00255,11/24/2009,0.45,11/24/2009,0.10839,5/7/2012,0.20,11/24/2009,0.20774,11/24/2009,0.74,5/8/2012,0.80524,11/24/2009,1.12257,1/26/2012,0.41,11/24/2009,0.08,5/20/2011,0.44118,11/24/2009,0.58,1/14/2011,0.36017,11/24/2009,0.14,6/8/2012,0.22041,,,,,,,,,
11/25/2009,1.29805,11/25/2009,0.67,11/25/2009,1.6232,11/25/2009,5.06,11/25/2009,1.18321,11/25/2009,1.78,11/25/2009,2.0361,11/25/2009,0.45,11/25/2009,0.10968,5/8/2012,0.20,11/25/2009,0.21419,11/25/2009,0.74,5/9/2012,0.78314,11/25/2009,1.15095,1/27/2012,0.41,11/25/2009,0.08,5/23/2011,0.41143,11/25/2009,0.63,1/17/2011,0.35174,11/25/2009,0.14,6/11/2012,0.21262,,,,,,,,,
11/26/2009,1.27352,11/26/2009,0.66,11/26/2009,1.60512,11/26/2009,4.98,11/26/2009,1.15481,11/26/2009,1.75,11/26/2009,2.01027,11/26/2009,0.44,11/26/2009,0.10838,5/9/2012,0.20,11/26/2009,0.21419,11/26/2009,0.73,5/10/2012,0.79858,11/26/2009,1.13933,1/30/2012,0.39,11/26/2009,0.08,5/24/2011,0.42175,11/26/2009,0.61,1/18/2011,0.35037,11/26/2009,0.14,6/12/2012,0.20491,,,,,,,,,
11/27/2009,1.21024,11/27/2009,0.63,11/27/2009,1.5199,11/27/2009,4.74,11/27/2009,1.07219,11/27/2009,1.63,11/27/2009,1.91472,11/27/2009,0.42,11/27/2009,0.10064,5/10/2012,0.19,11/27/2009,0.20773,11/27/2009,0.70,5/11/2012,0.79327,11/27/2009,1.07864,1/31/2012,0.38,11/27/2009,0.08,5/25/2011,0.39575,11/27/2009,0.58,1/19/2011,0.35807,11/27/2009,0.14,6/13/2012,0.1985,,,,,,,,,
11/30/2009,1.23869,11/30/2009,0.64,11/30/2009,1.54063,11/30/2009,4.89,11/30/2009,1.16128,11/30/2009,1.70,11/30/2009,1.99223,11/30/2009,0.43,11/30/2009,0.10581,5/11/2012,0.19,11/30/2009,0.20774,11/30/2009,0.72,5/14/2012,0.78293,11/30/2009,1.11999,2/1/2012,0.39,11/30/2009,0.08,5/26/2011,0.38661,11/30/2009,0.58,1/20/2011,0.35007,11/30/2009,0.14,6/14/2012,0.19204,,,,,,,,,
